Productname,price,Ratinf,Delivery,Savings
"HP 14s 11th Gen Intel Core i3- 8GB RAM/256GB SSD 14 inch(35.6cm) FHD,Micro-Edge,Anti-Glare,IPS Display/UHD Graphics/ Win 11/ MS Office/ Alexa Built-in/ 1.46kg/ Natural Silver - 14s-dy2506TU","42,490",4.2 out of 5 stars,"Tomorrow, February 15","₹42,490₹42,490 ₹55,562₹55,562  Save ₹13,072 (24%)"
"Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN","49,990",4.2 out of 5 stars,"Tomorrow, February 15","₹49,990₹49,990 ₹68,990₹68,990  Save ₹19,000 (28%)"
HP 11th Gen Intel Core i3 15.6 inch(39.6 cms) FHD Laptop ( 8GB RAM/1TB HDD/ UHD Graphics/ Win 10/ Alexa Built-in/MS Office/ 1.75kg/ Jet Black) - 15s-du3055TU,"39,490",3.3 out of 5 stars,"Tomorrow, February 15","₹39,490₹39,490 ₹45,515₹45,515  Save ₹6,025 (13%)"
"Lenovo IdeaPad 3 11th Gen Intel Core i5 14"" FHD Thin & Light Laptop (16GB/512 GB SSD/Windows 11/Office 2021/Backlit/Fingerprint Reader/2 Yr Warranty/Arctic Grey/1.41Kg), 82H7016KIN","60,990",4.2 out of 5 stars,"Tomorrow, February 15","₹60,990₹60,990 ₹91,890₹91,890  Save ₹30,900 (34%)"
"Lenovo Chromebook 14e 14.0"" FHD Business Laptop (AMD 3015Ce Processor/4GB DDR4 RAM/64GB Storage eMMC/AMD Radeon Graphics/Chrome OS/Grey) 82M10019HA","20,990",3.4 out of 5 stars,"Tomorrow, February 15","₹20,990₹20,990 ₹60,000₹60,000  Save ₹39,010 (65%)"
"ASUS VivoBook 14 (2021), AMD Ryzen 3 3250U, 14-inch (35.56 cms) FHD Thin and Light Laptop (8GB/256GB SSD/Office 2019/Windows 10/Integrated Graphics/Silver/1.6 Kg), M415DA-EK322TS","36,990",4.1 out of 5 stars,"Tomorrow, February 15","₹36,990₹36,990 ₹46,990₹46,990  Save ₹10,000 (21%)"
"Lenovo IdeaPad 1 Intel Celeron N4020 11.6'' HD Laptop (4GB/256GB SSD/Windows 11/Office 2021/Platinum Grey/1.2Kg), 81VT0095IN","30,690",4.0 out of 5 stars,"Wednesday, February 16","₹30,690₹30,690 ₹40,490₹40,490  Save ₹9,800 (24%)"
"HP 15s 11th Gen Intel Core i3- 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Laptop, HD,Anti-Glare Display/UHD Graphics/Win 11/Alexa-Built in/MS Office/Natural Silver/1.75 Kg)-15s-dy3501TU","43,890",4.0 out of 5 stars,"Tomorrow, February 15","₹43,890₹43,890 ₹49,590₹49,590  Save ₹5,700 (11%)"
"Lenovo IdeaPad 3 11th Gen Intel Core i3 35.56cm (14 inches) FHD Thin & Light Laptop (8 GB/256GB SDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.5Kg), 81X700CWIN","40,990",3.8 out of 5 stars,"Tomorrow, February 15","₹40,990₹40,990 ₹62,390₹62,390  Save ₹21,400 (34%)"
"HP Chromebook 14 Intel Celeron N4020-4GB SDRAM/64GB eMMC + 256GB Expandable Storage 14inch(35.6 cm) Thin & Light Touchscreen Laptop (Chrome OS/B&O/Google Assistant/BL Keyboard/1.46 kg),14a-na0003TU","27,490",3.7 out of 5 stars,"Tomorrow, February 15","₹27,490₹27,490 ₹29,741₹29,741  Save ₹2,251 (8%)"
