,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
0,Redmi," 8 (Onyx Black, 64 GB)",Onyx Black,64,4.4,"4,61,522","38,510",4,5000,6.22,1,8999,18% off,10999
1,Realme," 5i (Forest Green, 128 GB)",Forest Green,128,4.4,"1,37,585","10,799",4,5000,6.52,1,10999,8% off,11999
2,Realme," C3 (Frozen Blue, 32 GB)",Frozen Blue,32,4.4,"29,310","2,983",3,5000,6.52,1,7499,6% off,7999
3,Realme," C3 (Blazing Red, 32 GB)",Blazing Red,32,4.4,"29,310","2,983",3,5000,6.52,1,7499,6% off,7999
4,Realme," 5i (Forest Green, 64 GB)",Forest Green,64,4.4,"1,37,585","10,799",4,5000,6.52,1,9999,9% off,10999
5,Realme," 5i (Aqua Blue, 128 GB)",Aqua Blue,128,4.4,"1,37,585","10,799",4,5000,6.52,1,10999,8% off,11999
6,Realme," 5i (Aqua Blue, 64 GB)",Aqua Blue,64,4.4,"1,37,585","10,799",4,5000,6.52,1,9999,9% off,10999
7,Redmi," 8 (Ruby Red, 64 GB)",Ruby Red,64,4.4,"4,61,522","38,510",4,5000,6.22,1,8999,18% off,10999
8,Redmi," 8 (Emerald Green, 64 GB)",Emerald Green,64,4.4,"4,61,522","38,510",4,5000,6.22,1,8999,18% off,10999
9,Realme," C2 (Diamond Black, 32 GB)",Diamond Black,32,4.3,"1,11,384","8,955",3,4000,6.1,1,7499,16% off,8999
10,Realme," C2 (Diamond Black, 32 GB)",Diamond Black,32,4.4,"7,31,211","63,035",2,4000,6.1,1,6499,18% off,7999
11,Realme," C2 (Diamond Blue, 32 GB)",Diamond Blue,32,4.4,"7,31,211","63,035",2,4000,6.1,1,6499,18% off,7999
12,Redmi," 8 (Sapphire Blue, 64 GB)",Sapphire Blue,64,4.4,"4,61,522","38,510",4,5000,6.22,1,8999,18% off,10999
13,Redmi," Note 7 Pro (Space Black, 64 GB)",Space Black,64,4.5,"7,83,395","69,216",4,4000,6.3,1,10999,31% off,15999
14,Realme," C2 (Diamond Sapphire, 32 GB)",Diamond Sapphire,32,4.3,"1,11,384","8,955",3,4000,6.1,1,7499,16% off,8999
15,Realme," C2 (Diamond Ruby, 32 GB)",Diamond Ruby,32,4.3,"1,11,384","8,955",3,4000,6.1,1,7499,16% off,8999
16,Realme," C3 (Frozen Blue, 64 GB)",Frozen Blue,64,4.4,"33,751","3,291",4,5000,6.52,1,8499,5% off,8999
17,Redmi," 8A (Midnight Black, 32 GB)",Midnight Black,32,4.4,"1,19,619","9,163",2,5000,6.22,1,6999,12% off,7999
18,Realme," 5s (Crystal Blue, 64 GB)",Crystal Blue,64,4.4,"2,23,066","20,567",4,5000,6.5,1,10999,8% off,11999
19,Redmi," 8A (Ocean Blue, 32 GB)",Ocean Blue,32,4.4,"1,09,434","8,983",3,5000,6.22,1,7499,16% off,8999
20,Realme," 5s (Crystal Purple, 64 GB)",Crystal Purple,64,4.4,"2,23,066","20,567",4,5000,6.5,1,11999,0 % off,11999
21,Realme," 5s (Crystal Blue, 128 GB)",Crystal Blue,128,4.4,"2,23,066","20,567",4,5000,6.5,1,11999,7% off,12999
22,Redmi," 8A (Sunset Red, 32 GB)",Sunset Red,32,4.4,"1,09,434","8,983",3,5000,6.22,1,7499,16% off,8999
23,Infinix," Hot 8 (Quetzal Cyan, 64 GB)",Quetzal Cyan,64,4.5,"2,14,485","32,175",4,5000,6.52,1,7999,11% off,8999
24,Redmi," Go (Black, 8 GB)",Black,8,4.3,"1,54,798","12,754",1,3000,,1,4499,25% off,5999
25,Infinix," Note 5 (Ice Blue, 64 GB)",Ice Blue,64,4.2,"6,598",,4,4500,5.99,1,7699,40% off,12999
26,Vivo," Z1Pro (Sonic Blue, 64 GB)",Sonic Blue,64,4.5,"3,13,198","31,982",4,5000,6.53,1,13990,12% off,15990
27,Vivo," Z1Pro (Sonic Blue, 64 GB)",Sonic Blue,64,4.5,"1,26,121","12,617",6,5000,6.53,1,14990,16% off,17990
28,Realme," 5 (Crystal Purple, 32 GB)",Crystal Purple,32,4.5,"2,28,918","19,618",3,0,6.5,1,9999,9% off,10999
29,Realme," 5 (Crystal Purple, 128 GB)",Crystal Purple,128,4.4,"3,07,642","28,953",4,0,6.5,1,11999,7% off,12999
