,BRAND,PRODUCT_NAME,COLOR,MEMORY,STAR_RATING,RATINGS,REVIEWS,RAM,BATTERY_C,SCREEN_SIZE,WARRANTY,OFFER_PRICE,DISCOUNT,MRP
0,Redmi," 8 (Onyx Black, 64 GB)",Onyx Black,64,4.4,461522,38510,4.0,5000.0,6.22,1.0,8999,18% off,10999
1,Realme," 5i (Forest Green, 128 GB)",Forest Green,128,4.4,137585,10799,4.0,5000.0,6.52,1.0,10999,8% off,11999
2,Realme," C3 (Frozen Blue, 32 GB)",Frozen Blue,32,4.4,29310,2983,3.0,5000.0,6.52,1.0,7499,6% off,7999
3,Realme," C3 (Blazing Red, 32 GB)",Blazing Red,32,4.4,29310,2983,3.0,5000.0,6.52,1.0,7499,6% off,7999
4,Realme," 5i (Forest Green, 64 GB)",Forest Green,64,4.4,137585,10799,4.0,5000.0,6.52,1.0,9999,9% off,10999
5,Realme," 5i (Aqua Blue, 128 GB)",Aqua Blue,128,4.4,137585,10799,4.0,5000.0,6.52,1.0,10999,8% off,11999
6,Realme," 5i (Aqua Blue, 64 GB)",Aqua Blue,64,4.4,137585,10799,4.0,5000.0,6.52,1.0,9999,9% off,10999
7,Redmi," 8 (Ruby Red, 64 GB)",Ruby Red,64,4.4,461522,38510,4.0,5000.0,6.22,1.0,8999,18% off,10999
8,Redmi," 8 (Emerald Green, 64 GB)",Emerald Green,64,4.4,461522,38510,4.0,5000.0,6.22,1.0,8999,18% off,10999
9,Realme," C2 (Diamond Black, 32 GB)",Diamond Black,32,4.3,111384,8955,3.0,4000.0,6.1,1.0,7499,16% off,8999
10,Realme," C2 (Diamond Black, 32 GB)",Diamond Black,32,4.4,731211,63035,2.0,4000.0,6.1,1.0,6499,18% off,7999
11,Realme," C2 (Diamond Blue, 32 GB)",Diamond Blue,32,4.4,731211,63035,2.0,4000.0,6.1,1.0,6499,18% off,7999
12,Redmi," 8 (Sapphire Blue, 64 GB)",Sapphire Blue,64,4.4,461522,38510,4.0,5000.0,6.22,1.0,8999,18% off,10999
13,Redmi," Note 7 Pro (Space Black, 64 GB)",Space Black,64,4.5,783395,69216,4.0,4000.0,6.3,1.0,10999,31% off,15999
14,Realme," C2 (Diamond Sapphire, 32 GB)",Diamond Sapphire,32,4.3,111384,8955,3.0,4000.0,6.1,1.0,7499,16% off,8999
15,Realme," C2 (Diamond Ruby, 32 GB)",Diamond Ruby,32,4.3,111384,8955,3.0,4000.0,6.1,1.0,7499,16% off,8999
16,Realme," C3 (Frozen Blue, 64 GB)",Frozen Blue,64,4.4,33751,3291,4.0,5000.0,6.52,1.0,8499,5% off,8999
17,Redmi," 8A (Midnight Black, 32 GB)",Midnight Black,32,4.4,119619,9163,2.0,5000.0,6.22,1.0,6999,12% off,7999
18,Realme," 5s (Crystal Blue, 64 GB)",Crystal Blue,64,4.4,223066,20567,4.0,5000.0,6.5,1.0,10999,8% off,11999
19,Redmi," 8A (Ocean Blue, 32 GB)",Ocean Blue,32,4.4,109434,8983,3.0,5000.0,6.22,1.0,7499,16% off,8999
